iter	Passed	Remaining
0	1	144
1	2	137
2	4	130
3	5	120
4	6	118
5	7	115
6	8	113
7	9	110
8	10	109
9	12	108
10	13	110
11	15	110
12	16	109
13	17	107
14	18	106
15	19	104
16	21	103
17	22	102
18	23	100
19	24	99
20	25	97
21	27	95
22	28	94
23	29	93
24	30	92
25	31	90
26	33	89
27	34	88
28	35	86
29	36	85
30	37	84
31	39	82
32	40	81
33	41	80
34	42	78
35	43	77
36	45	76
37	46	75
38	47	74
39	48	72
40	49	71
41	50	69
42	51	68
43	52	66
44	53	65
45	55	64
46	56	63
47	57	62
48	58	61
49	59	59
50	61	58
51	62	57
52	63	56
53	64	54
54	65	53
55	66	52
56	67	51
57	68	49
58	70	48
59	71	47
60	72	46
61	73	45
62	75	44
63	76	42
64	77	41
65	78	40
66	79	39
67	80	38
68	82	36
69	83	35
70	84	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	91	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	108	10
91	109	9
92	110	8
93	111	7
94	112	5
95	114	4
96	115	3
97	116	2
98	117	1
99	118	0
